Changing files of Problem #12
filename: 01.inp, cur_input : 01.inp, cur_output : 01.out
remove : /opt/vespa/data/intro2022/assignment/12/eval/01.inp, changed : 01.inp
filename: 01.inp, cur_input : 02.inp, cur_output : 02.out
filename: 01.inp, cur_input : 03.inp, cur_output : 03.out
filename: 01.inp, cur_input : 04.inp, cur_output : 04.out
filename: 01.inp, cur_input : 05.inp, cur_output : 05.out
filename: 01.inp, cur_input : 06.inp, cur_output : 06.out
filename: 01.inp, cur_input : 07.inp, cur_output : 07.out
filename: 01.inp, cur_input : 08.inp, cur_output : 08.out
filename: 01.inp, cur_input : 09.inp, cur_output : 09.out
filename: 01.inp, cur_input : 10.inp, cur_output : 10.out
filename: 01.inp, cur_input : 11.inp, cur_output : 11.out
filename: 01.inp, cur_input : 12.inp, cur_output : 12.out
filename: 01.inp, cur_input : 13.inp, cur_output : 13.out
filename: 01.inp, cur_input : 14.inp, cur_output : 14.out
filename: 01.inp, cur_input : 15.inp, cur_output : 15.out
filename: 01.out, cur_input : 01.inp, cur_output : 01.out
remove : /opt/vespa/data/intro2022/assignment/12/eval/01.out, changed : 01.out
filename: 01.out, cur_input : 02.inp, cur_output : 02.out
filename: 01.out, cur_input : 03.inp, cur_output : 03.out
filename: 01.out, cur_input : 04.inp, cur_output : 04.out
filename: 01.out, cur_input : 05.inp, cur_output : 05.out
filename: 01.out, cur_input : 06.inp, cur_output : 06.out
filename: 01.out, cur_input : 07.inp, cur_output : 07.out
filename: 01.out, cur_input : 08.inp, cur_output : 08.out
filename: 01.out, cur_input : 09.inp, cur_output : 09.out
filename: 01.out, cur_input : 10.inp, cur_output : 10.out
filename: 01.out, cur_input : 11.inp, cur_output : 11.out
filename: 01.out, cur_input : 12.inp, cur_output : 12.out
filename: 01.out, cur_input : 13.inp, cur_output : 13.out
filename: 01.out, cur_input : 14.inp, cur_output : 14.out
filename: 01.out, cur_input : 15.inp, cur_output : 15.out
filename: 02.inp, cur_input : 01.inp, cur_output : 01.out
filename: 02.inp, cur_input : 02.inp, cur_output : 02.out
remove : /opt/vespa/data/intro2022/assignment/12/eval/02.inp, changed : 02.inp
filename: 02.inp, cur_input : 03.inp, cur_output : 03.out
filename: 02.inp, cur_input : 04.inp, cur_output : 04.out
filename: 02.inp, cur_input : 05.inp, cur_output : 05.out
filename: 02.inp, cur_input : 06.inp, cur_output : 06.out
filename: 02.inp, cur_input : 07.inp, cur_output : 07.out
filename: 02.inp, cur_input : 08.inp, cur_output : 08.out
filename: 02.inp, cur_input : 09.inp, cur_output : 09.out
filename: 02.inp, cur_input : 10.inp, cur_output : 10.out
filename: 02.inp, cur_input : 11.inp, cur_output : 11.out
filename: 02.inp, cur_input : 12.inp, cur_output : 12.out
filename: 02.inp, cur_input : 13.inp, cur_output : 13.out
filename: 02.inp, cur_input : 14.inp, cur_output : 14.out
filename: 02.inp, cur_input : 15.inp, cur_output : 15.out
filename: 02.out, cur_input : 01.inp, cur_output : 01.out
filename: 02.out, cur_input : 02.inp, cur_output : 02.out
remove : /opt/vespa/data/intro2022/assignment/12/eval/02.out, changed : 02.out
filename: 02.out, cur_input : 03.inp, cur_output : 03.out
filename: 02.out, cur_input : 04.inp, cur_output : 04.out
filename: 02.out, cur_input : 05.inp, cur_output : 05.out
filename: 02.out, cur_input : 06.inp, cur_output : 06.out
filename: 02.out, cur_input : 07.inp, cur_output : 07.out
filename: 02.out, cur_input : 08.inp, cur_output : 08.out
filename: 02.out, cur_input : 09.inp, cur_output : 09.out
filename: 02.out, cur_input : 10.inp, cur_output : 10.out
filename: 02.out, cur_input : 11.inp, cur_output : 11.out
filename: 02.out, cur_input : 12.inp, cur_output : 12.out
filename: 02.out, cur_input : 13.inp, cur_output : 13.out
filename: 02.out, cur_input : 14.inp, cur_output : 14.out
filename: 02.out, cur_input : 15.inp, cur_output : 15.out
filename: 03.inp, cur_input : 01.inp, cur_output : 01.out
filename: 03.inp, cur_input : 02.inp, cur_output : 02.out
filename: 03.inp, cur_input : 03.inp, cur_output : 03.out
remove : /opt/vespa/data/intro2022/assignment/12/eval/03.inp, changed : 03.inp
filename: 03.inp, cur_input : 04.inp, cur_output : 04.out
filename: 03.inp, cur_input : 05.inp, cur_output : 05.out
filename: 03.inp, cur_input : 06.inp, cur_output : 06.out
filename: 03.inp, cur_input : 07.inp, cur_output : 07.out
filename: 03.inp, cur_input : 08.inp, cur_output : 08.out
filename: 03.inp, cur_input : 09.inp, cur_output : 09.out
filename: 03.inp, cur_input : 10.inp, cur_output : 10.out
